Task ID,Epic ID,Workstream Code,Workstream,Phase,Layer,Task Type,Title,Objective,Scope,Task Detail,Inputs,Outputs,Owner Role,Collaborators,Priority,Estimate (SP),Estimated Duration (Days),Dependencies,Acceptance Criteria,Test Plan,KPI/Success Metric,Primary Risk,Mitigation,Target Release,Status
FRI-PLAT-001,EPIC-RUL,RUL,Rules Engine Core,Phase-1 Foundations (Weeks 1-4),Platform,Product/Architecture Spec,Rules Engine Core — Product/Architecture Spec,Create a deterministic policy/rule runtime that gates all agent execution steps.,"Rule DSL, policy bundles, pre/post evaluation hooks, decision actions",Define product and technical contract for this workstream with edge cases and out-of-scope boundaries.,"Current Friday codebase, existing API/runtime contracts, platform vision constraints.","rules_engine module, policy YAML packs, evaluation APIs",Principal Engineer,Product Manager; QA Engineer; Security Engineer; DevOps Engineer,P0,3,1.5,none,"Architecture RFC, sequence diagrams, explicit NFRs approved.",Design review checklist passed; architecture doc lint + peer review complete.,Rule decision latency p95 < 20ms; policy violation false-positive rate < 2%; blocked unsafe actions = 100%.,Architecture drift after implementation.,Weekly design-review gate + ADR updates.,2026-Q2,Planned
FRI-PLAT-002,EPIC-RUL,RUL,Rules Engine Core,Phase-1 Foundations (Weeks 1-4),Platform,Domain Model and Data Contract,Rules Engine Core — Domain Model and Data Contract,Create a deterministic policy/rule runtime that gates all agent execution steps.,"Rule DSL, policy bundles, pre/post evaluation hooks, decision actions","Define canonical entities, schemas, and persistence layout with versioning strategy.","Current Friday codebase, existing API/runtime contracts, platform vision constraints.","rules_engine module, policy YAML packs, evaluation APIs",Backend Engineer (Data),Product Manager; QA Engineer; Security Engineer; DevOps Engineer,P0,5,2.5,FRI-PLAT-001,Schema package merged; migration plan approved; backward compatibility documented.,Schema contract tests and migration dry-run against snapshot DB.,Rule decision latency p95 < 20ms; policy violation false-positive rate < 2%; blocked unsafe actions = 100%.,Breaking schema evolution.,Introduce versioned schema and compatibility tests.,2026-Q2,Planned
FRI-PLAT-003,EPIC-RUL,RUL,Rules Engine Core,Phase-1 Foundations (Weeks 1-4),Platform,API and SDK Contract,Rules Engine Core — API and SDK Contract,Create a deterministic policy/rule runtime that gates all agent execution steps.,"Rule DSL, policy bundles, pre/post evaluation hooks, decision actions",Define external/internal APIs and SDK methods including error model and idempotency keys.,"Current Friday codebase, existing API/runtime contracts, platform vision constraints.","rules_engine module, policy YAML packs, evaluation APIs",Backend Engineer (API),Product Manager; QA Engineer; Security Engineer; DevOps Engineer,P0,5,2.5,FRI-PLAT-002,OpenAPI/TS types generated; standardized error codes and retry hints present.,Contract tests and SDK compile checks pass in CI.,Rule decision latency p95 < 20ms; policy violation false-positive rate < 2%; blocked unsafe actions = 100%.,Inconsistent API behavior across modules.,Contract-first generation + shared validator middleware.,2026-Q2,Planned
FRI-PLAT-004,EPIC-RUL,RUL,Rules Engine Core,Phase-2 Runtime Hardening (Weeks 5-8),Platform,Core Runtime Implementation,Rules Engine Core — Core Runtime Implementation,Create a deterministic policy/rule runtime that gates all agent execution steps.,"Rule DSL, policy bundles, pre/post evaluation hooks, decision actions",Build core runtime logic and integration with existing Friday modules.,"Current Friday codebase, existing API/runtime contracts, platform vision constraints.","rules_engine module, policy YAML packs, evaluation APIs",Backend Engineer (Runtime),Product Manager; QA Engineer; Security Engineer; DevOps Engineer,P0,8,4.0,FRI-PLAT-003,Core path implemented with deterministic state transitions and rollback safety.,Unit tests for state machine transitions and failure paths.,Rule decision latency p95 < 20ms; policy violation false-positive rate < 2%; blocked unsafe actions = 100%.,Runtime regressions under concurrency.,Feature flags + dark launch before default enable.,2026-Q2,Planned
FRI-PLAT-005,EPIC-RUL,RUL,Rules Engine Core,Phase-2 Runtime Hardening (Weeks 5-8),Platform,UI and Operator Controls,Rules Engine Core — UI and Operator Controls,Create a deterministic policy/rule runtime that gates all agent execution steps.,"Rule DSL, policy bundles, pre/post evaluation hooks, decision actions",Add operator-facing controls and views with beginner-friendly defaults and safe guardrails.,"Current Friday codebase, existing API/runtime contracts, platform vision constraints.","rules_engine module, policy YAML packs, evaluation APIs",Frontend Engineer (UX),Product Manager; QA Engineer; Security Engineer; DevOps Engineer,P1,5,2.5,FRI-PLAT-004,UI flow complete; unsupported actions hidden; inline help + defaults provided.,Component tests + accessibility smoke + UX script validation.,Rule decision latency p95 < 20ms; policy violation false-positive rate < 2%; blocked unsafe actions = 100%.,UI exposes unsafe operations.,Capability gating and policy-based button states.,2026-Q2,Planned
FRI-PLAT-006,EPIC-RUL,RUL,Rules Engine Core,Phase-3 Governance (Weeks 9-12),Platform,Security and Permission Model,Rules Engine Core — Security and Permission Model,Create a deterministic policy/rule runtime that gates all agent execution steps.,"Rule DSL, policy bundles, pre/post evaluation hooks, decision actions","Implement permission boundaries, secret handling, and policy enforcement for this stream.","Current Friday codebase, existing API/runtime contracts, platform vision constraints.","rules_engine module, policy YAML packs, evaluation APIs",Security Engineer,Product Manager; QA Engineer; Security Engineer; DevOps Engineer,P0,5,2.5,FRI-PLAT-005,Least-privilege model enforced; denied operations are explicit and audited.,RBAC matrix tests + penetration checklist + negative tests.,Rule decision latency p95 < 20ms; policy violation false-positive rate < 2%; blocked unsafe actions = 100%.,Privilege escalation or data leakage.,Deny-by-default policy and scoped credentials.,2026-Q2,Planned
FRI-PLAT-007,EPIC-RUL,RUL,Rules Engine Core,Phase-3 Governance (Weeks 9-12),Platform,"Migration, Backfill, and Compatibility","Rules Engine Core — Migration, Backfill, and Compatibility",Create a deterministic policy/rule runtime that gates all agent execution steps.,"Rule DSL, policy bundles, pre/post evaluation hooks, decision actions","Deliver migration scripts, data backfill logic, and compatibility window strategy.","Current Friday codebase, existing API/runtime contracts, platform vision constraints.","rules_engine module, policy YAML packs, evaluation APIs",Backend Engineer (Platform),Product Manager; QA Engineer; Security Engineer; DevOps Engineer,P1,5,2.5,FRI-PLAT-006,Zero-loss migration dry run; rollback path documented and tested.,Migration chain tests + rollback simulation in staging.,Rule decision latency p95 < 20ms; policy violation false-positive rate < 2%; blocked unsafe actions = 100%.,Data corruption during upgrade.,Transactional migration + checksums + backup gate.,2026-Q2,Planned
FRI-PLAT-008,EPIC-RUL,RUL,Rules Engine Core,Phase-4 Validation (Weeks 13-16),Platform,Automated Test Matrix,Rules Engine Core — Automated Test Matrix,Create a deterministic policy/rule runtime that gates all agent execution steps.,"Rule DSL, policy bundles, pre/post evaluation hooks, decision actions",Build comprehensive unit/integration/e2e suites for critical paths and edge cases.,"Current Friday codebase, existing API/runtime contracts, platform vision constraints.","rules_engine module, policy YAML packs, evaluation APIs",QA Automation Engineer,Product Manager; QA Engineer; Security Engineer; DevOps Engineer,P1,8,4.0,FRI-PLAT-007,Coverage target met for critical modules; flaky test budget under threshold.,CI matrix green across macOS/Linux + sqlite snapshots.,Rule decision latency p95 < 20ms; policy violation false-positive rate < 2%; blocked unsafe actions = 100%.,False confidence due to shallow tests.,Property tests and adversarial scenario suites.,2026-Q2,Planned
FRI-PLAT-009,EPIC-RUL,RUL,Rules Engine Core,Phase-5 Beta Rollout (Weeks 17-20),Platform,Beta Rollout and Telemetry,Rules Engine Core — Beta Rollout and Telemetry,Create a deterministic policy/rule runtime that gates all agent execution steps.,"Rule DSL, policy bundles, pre/post evaluation hooks, decision actions","Ship behind feature flag, collect telemetry, and run controlled beta with acceptance gates.","Current Friday codebase, existing API/runtime contracts, platform vision constraints.","rules_engine module, policy YAML packs, evaluation APIs",DevOps/SRE Engineer,Product Manager; QA Engineer; Security Engineer; DevOps Engineer,P1,5,2.5,FRI-PLAT-008,Beta metrics dashboard active; SLO and error budget monitored daily.,Synthetic probes + canary tests + weekly beta triage log.,Rule decision latency p95 < 20ms; policy violation false-positive rate < 2%; blocked unsafe actions = 100%.,Silent production failures.,Canary rollout + automatic rollback thresholds.,2026-Q2,Planned
FRI-PLAT-010,EPIC-RUL,RUL,Rules Engine Core,Phase-6 Launch Readiness (Weeks 21-24),Platform,Launch Runbook and Handover,Rules Engine Core — Launch Runbook and Handover,Create a deterministic policy/rule runtime that gates all agent execution steps.,"Rule DSL, policy bundles, pre/post evaluation hooks, decision actions","Prepare production launch checklist, support playbooks, and ownership handover.","Current Friday codebase, existing API/runtime contracts, platform vision constraints.","rules_engine module, policy YAML packs, evaluation APIs",Release Manager,Product Manager; QA Engineer; Security Engineer; DevOps Engineer,P1,3,1.5,FRI-PLAT-009,Runbook published; on-call training complete; launch gates automated.,Game-day simulation + incident drill + go/no-go checklist pass.,Rule decision latency p95 < 20ms; policy violation false-positive rate < 2%; blocked unsafe actions = 100%.,Operational unpreparedness at launch.,Runbook automation and escalation tree validation.,2026-Q2,Planned
