Priority,Task ID,Workstream,Title,Owner Role,Estimate Days,Dependencies,Implementation Scope,Acceptance Checklist,Test Plan,Evidence Baseline
P0,PBK-PERSIST-001,PBK,Replace in-memory playbook store with SQLite persistence,Backend Platform Engineer,3,"db migration readiness","Implement playbook repository + migrations; switch createPlaybookStore() usage in workflow runtime to persistent adapter; keep in-memory adapter for tests.","Restart keeps playbook/candidate/version/score records; migration chain passes; rollback path documented.","Unit: repository CRUD and conflict tests; Integration: run->restart->select same playbook; E2E: repeated runs reuse promoted playbook.","./src/playbook/engine/playbook-store.ts:79;./src/workflows/runtime/friday-workflow-runtime.ts:669"
P0,RUL-GLOBAL-001,RUL,Apply rules gate globally across execution entrypoints,Backend Runtime Engineer,4,"PBK-PERSIST-001 not required","Hook rules evaluation into agent startRun/session run path/skill invoke path; define mandatory scope injection and deny behavior consistency.","Denied policy blocks execution in enforce mode across all entrypoints; warn mode does not block but emits evidence events.","Unit: policy matrix tests by entrypoint; Integration: agent/session/skill deny cases; Adversarial: bypass attempts fail.","./src/api/runtime/friday-api-runtime.ts:996;./src/workflows/runtime/friday-workflow-runtime.ts:512"
P0,API-WIRE-001,Platform API,Wire implemented-but-unregistered route families,Backend API Engineer,4,"service constructors for each module","Register routes for multi-tenant, packaging, desktop, observability, marketplace-commerce, discovery, satellite-pairing with feature flags and dependency checks.","Route contract snapshot includes enabled families; disabled families return explicit capability-off signal; no silent 404 for configured modules.","Contracts: snapshot update; Unit: each route family auth/validation; Smoke: health capabilities reflect registration.","./src/api/runtime/friday-api-runtime.ts:350;./src/api/http/routes/friday-desktop-routes.ts:131"
P0,SEC-TENANT-001,SEC,Tenant/owner/satellite authz convergence for evidence and new APIs,Security Engineer,3,"API-WIRE-001","Standardize principal resolution and tenant boundary checks; apply to evidence export + newly wired route families.","Cross-tenant access denied with 403; owner/admin have expected access; satellite-bound access scoped correctly.","Integration: RBAC matrix tests; E2E: unauthorized download/policy actions denied; Security regression tests.","./src/api/runtime/friday-api-runtime.ts:289"
P0,TEST-SKIP-001,QA,Reduce and justify skipped tests in critical suites,QA Automation Engineer,2,"none","Replace unconditional skips with implementable coverage or explicit env-gated skips; add skip-budget gate in PR CI for critical paths.","Critical suites have zero unconditional skips; all remaining skips include env gate + reason tag.","Run check-skipped-tests with strict threshold; CI fails on regression.","./test/e2e/api/friday-api-auth-rbac-errors.test.ts:344;./test/integration/memory/guard/friday-memory-guard-pii-namespace.test.ts:14"
P0,E2E-CLOUD-001,E2E,Promote cloud live E2E to protected release gate,DevOps/SRE Engineer,2,"cloud environment secrets","Make cloud live E2E part of release gating policy for main/tag builds; keep manual trigger for ad-hoc runs.","Main release candidate has passing cloud OpenAI live E2E artifact and logs.","Workflow dispatch + protected environment run; artifact upload validated.","./.github/workflows/cloud-e2e.yml"
P1,OBS-EVIDENCE-001,OBS,Add evidence retention and storage lifecycle controls,SRE + Backend Engineer,2,"PBK-PERSIST-001","Define TTL/retention jobs for run evidence exports and DB traces; expose retention config and operational metrics.","Retention job runs safely; no orphaned export files; retention policy visible in config/docs.","Unit: retention selector; Integration: export then expire; Ops smoke: no DB/file drift.","./src/workflows/runtime/friday-workflow-runtime.ts:385"
P1,RET-POLICY-001,RET,Externalize retry policies into managed policy packs,Backend Runtime Engineer,2,"RUL-GLOBAL-001","Move hardcoded retry policy defaults to structured policy store; add API for policy list/get.","Retry behavior reproducible from policy pack version; policy change audit trail exists.","Unit: policy loader/validator; Integration: policy switch affects retry decisions deterministically.","./src/workflows/runtime/friday-workflow-runtime.ts:715"
P1,ACC-DOMAIN-001,ACC,Introduce domain acceptance templates,QA + Domain Engineer,3,"PBK-PERSIST-001","Add reusable acceptance packs by workflow type (schema, quant, quality, policy) and bind at compile time.","At least 3 workflow families use non-baseline acceptance packs; failures clearly actionable.","Unit: evaluator rule coverage; Integration: workflow families pass/fail as expected.","./src/workflows/runtime/friday-workflow-runtime.ts:590"
P1,CNV-QUALITY-001,CNV,Converter quality scoring and repair loop,Backend AI Engineer,3,"none","Add confidence scoring for conversion outputs; add auto-repair retries for invalid manifests/workflows.","Conversion endpoints return quality score + diagnostics; invalid conversion can auto-repair at least one retry path.","Unit: scorer; Integration: bad input repaired; E2E: import from top formats.","./src/api/runtime/friday-api-runtime.ts:935;./src/hub/friday-hub-bootstrap.ts:568"
P1,MKT-OPS-001,MKT,Marketplace mode convergence (stub vs real),Backend Product Engineer,2,"API-WIRE-001","Decide and implement runtime mode contract; if stub, return explicit 501/capability payload; if real, wire commerce services.","Marketplace health capability truthful; no false-available states.","Unit: capability resolver; Integration: stub and real modes; contract tests for mode-specific behavior.","./src/hub/friday-hub-bootstrap.ts:945;./src/api/runtime/friday-api-runtime.ts:1016"
P1,PKG-WIRE-001,PKG,Wire package lifecycle routes and services,Backend Platform Engineer,3,"API-WIRE-001","Instantiate packaging engine and register /v1/packages routes with authz and audit events.","Package routes appear in contract snapshot and are operational for list/publish/install/rollback flows.","Unit: route handlers + engine; Integration: publish->install->rollback flow; contracts updated.","./src/api/http/routes/friday-packaging-routes.ts:96"
P1,OBS-WIRE-001,OBS,Wire observability routes with operational backends,Backend + SRE Engineer,3,"API-WIRE-001","Bind traces/audit/alerts/SLO route deps to real stores/services; enforce auth scopes.","/v1/observability routes available when enabled and enforce scope checks.","Unit: route auth; Integration: trace query + alert ack; contract snapshot includes observability paths.","./src/api/http/routes/friday-observability-routes.ts:68"
P2,UIX-NONBUILDER-001,UIX,Deliver non-builder chat-first control center,Frontend Engineer,5,"P0 backend tasks","Implement chat-first shell + left task rail + workflow/skills panel + run evidence drawer.","User can chat, create task, create workflow/skill, inspect run evidence without builder jargon.","E2E UI tests + accessibility smoke + responsive checks.","./ui"
P2,UIX-COMMAND-001,UIX,Expose safe command actions as buttons,Frontend + Security Engineer,3,"UIX-NONBUILDER-001; RUL-GLOBAL-001","Map frequent command intents to policy-aware UI actions with confirmation levels.","Buttons only enabled when policy allows; denied actions provide reason + remediation path.","Unit: state gating; E2E: allowed/denied behavior; UX checklist.","./ui;./src/rules"
P2,DOC-BLUEPRINT-001,Program Mgmt,Sync blueprint status with real evidence,Tech Lead,1,"all completed tasks","Update blueprint CSV Status fields and attach code/test evidence links per workstream.","Blueprint no longer shows all 124 items as Planned; each item has factual status and evidence.","Manual review + consistency script.","./docs/friday-platform-blueprint-2026-02-24.csv"
