"path","git_status","category","rationale","touch_policy","approval_status","recommended_next_action"
"packages/friday-operator-client/src/system-client.ts","M","protected_user_or_historical","Previously identified protected dirty operator client work outside Phase 3.0 protocol scope.","Do not touch or stage unless user reclassifies a hunk.","blocked","Leave untouched during Phase 3.0."
"scripts/e2e/run-friday-external-closure.mjs","M","phase3_wip","External closure proof harness appears related to Phase 3 real proof work.","Only touch in later approved proof subphase after explaining hunk intent and tests.","not_approved_for_phase3_0","Keep as WIP and review before implementation resumes."
"src/agent/runtime/friday-agent-answer-alignment.ts","M","phase3_wip","Agent truth or availability wording appears tied to Phase 3 false-available cleanup.","Only touch in later approved subphase after hunk explanation.","not_approved_for_phase3_0","Keep as WIP and verify against agent behavior later."
"src/agent/runtime/friday-agent-evidence-blocks.ts","M","phase3_wip","Agent evidence wording appears tied to lifecycle evidence truth.","Only touch in later approved subphase after hunk explanation.","not_approved_for_phase3_0","Keep as WIP and verify evidence contract later."
"src/agent/runtime/friday-agent-system-prompt-builder.ts","M","phase3_wip","Prompt availability surface appears tied to verified capabilities.","Only touch in later approved subphase after hunk explanation.","not_approved_for_phase3_0","Keep as WIP and verify model-visible tools later."
"src/agent/tools/friday-agent-skill-import-tool.ts","M","phase3_wip","Agent skill import behavior is part of external skill candidate lifecycle.","Only touch in external skill lifecycle subphase after hunk explanation.","not_approved_for_phase3_0","Review when implementing candidate-only import."
"src/agent/tools/friday-agent-skill-tool.ts","M","phase3_wip","Agent skill run availability gate is part of unpromoted skill blocking.","Only touch in runtime gate subphase after hunk explanation.","not_approved_for_phase3_0","Review with API and workflow run gates."
"src/agent/tools/friday-agent-skills-list-tool.ts","M","phase3_wip","Agent skill list availability truth is part of false-available cleanup.","Only touch in runtime gate subphase after hunk explanation.","not_approved_for_phase3_0","Review with promoted availability semantics."
"src/agent/tools/friday-agent-tool-registry.ts","M","phase3_wip","Tool registry exposure appears related to verified capability availability.","Only touch in agent surface subphase after hunk explanation.","not_approved_for_phase3_0","Review model-visible tool availability later."
"src/api/http/routes/friday-autonomy-routes.ts","M","phase3_wip","Autonomy lifecycle routes are part of shadow canary promote flow.","Only touch in lifecycle route subphase after hunk explanation.","not_approved_for_phase3_0","Review API request shapes and proof derivation later."
"src/api/http/routes/friday-deeplink-routes.ts","M","phase3_wip","Deeplink apply route is part of candidate-only external entrypoint repair.","Only touch in deeplink lifecycle subphase after hunk explanation.","not_approved_for_phase3_0","Review route options with deeplink service gate."
"src/api/http/routes/friday-scan-migrate-routes.ts","M","phase3_wip","Scan migrate route appears tied to preview or candidate-only external import.","Only touch in external entrypoint parity subphase after hunk explanation.","not_approved_for_phase3_0","Review UI and API response contract later."
"src/api/http/routes/friday-skill-converter-routes.ts","M","phase3_wip","Skill convert and import routes are central to preview-only and candidate-only decisions.","Only touch in external skill route subphase after hunk explanation.","not_approved_for_phase3_0","Review convert preview-only and import candidate-only later."
"src/api/http/routes/friday-skill-routes.ts","M","phase3_wip","Skill run route is central to unpromoted skill blocking.","Only touch in runtime gate subphase after hunk explanation.","not_approved_for_phase3_0","Review with executor and agent parity later."
"src/api/model/friday-api-autonomy.types.ts","M","phase3_wip","Autonomy type change appears tied to lifecycle canary input.","Only touch in API type subphase after hunk explanation.","not_approved_for_phase3_0","Review public versus internal request boundary later."
"src/api/model/friday-api-skill-converter.types.ts","M","phase3_wip","Converter API types appear tied to candidate response shape.","Only touch in API type subphase after hunk explanation.","not_approved_for_phase3_0","Review after route semantics are locked in code."
"src/api/runtime/friday-api-runtime.ts","M","phase3_wip","Central runtime lifecycle dispatch is broad and high risk.","Touch only announced hunks inside the approved lifecycle runtime subphase after reading dependencies.","not_approved_for_phase3_0","Review carefully for mixed concerns before implementation."
"src/api/runtime/friday-deep-link-apply-service.ts","M","phase3_wip","Deeplink apply is part of candidate-only external entrypoint repair.","Only touch in deeplink lifecycle subphase after hunk explanation.","not_approved_for_phase3_0","Review with deeplink UI and route tests later."
"src/autonomy/services/friday-capability-acquisition-service.ts","M","phase3_wip","Capability acquisition appears tied to external Lego lifecycle state.","Only touch in lifecycle orchestration subphase after hunk explanation.","not_approved_for_phase3_0","Review candidate acquisition semantics later."
"src/autonomy/services/friday-channel-adapter-upgrade-lifecycle-service.ts","M","phase3_wip","Channel adapter lifecycle proof appears part of broader upgrade truth work.","Only touch in later channel lifecycle subphase after hunk explanation.","not_approved_for_phase3_0","Keep out of Phase 3.0 commit except ledger."
"src/autonomy/services/friday-mcp-server-upgrade-lifecycle-service.ts","M","phase3_wip","MCP lifecycle proof is part of external MCP availability truth.","Only touch in MCP lifecycle subphase after hunk explanation.","not_approved_for_phase3_0","Review external MCP lifecycle later."
"src/autonomy/services/friday-plugin-upgrade-lifecycle-service.ts","M","phase3_wip","Plugin lifecycle proof is part of external plugin trust and promote flow.","Only touch in plugin lifecycle subphase after hunk explanation.","not_approved_for_phase3_0","Review manual trust and hash semantics later."
"src/autonomy/services/friday-provider-profile-upgrade-lifecycle-service.ts","M","phase3_wip","Provider lifecycle proof is part of real validation availability truth.","Only touch in provider lifecycle subphase after hunk explanation.","not_approved_for_phase3_0","Review provider validation evidence later."
"src/autonomy/services/friday-skill-upgrade-lifecycle-service.ts","M","phase3_wip","Skill shadow canary promote metadata is central to external skill lifecycle repair.","Only touch in skill lifecycle subphase after hunk explanation.","not_approved_for_phase3_0","Review active artifact and rollback semantics later."
"src/autonomy/services/friday-workflow-upgrade-lifecycle-service.ts","M","phase3_wip","Workflow lifecycle proof is part of broader lifecycle truth work.","Only touch in workflow lifecycle subphase after hunk explanation.","not_approved_for_phase3_0","Review workflow proof and promotion later."
"src/cli/friday-cli.ts","M","phase3_wip","CLI changes may expose setup or lifecycle truth behavior.","Only touch in CLI subphase after hunk explanation.","not_approved_for_phase3_0","Review before including in any commit."
"src/hub/friday-hub-bootstrap.ts","M","phase3_wip","Hub bootstrap is broad and mixed with lifecycle wiring and possible unrelated startup changes.","Touch only announced hunks inside the approved subphase after local dependency read and conflict check.","not_approved_for_phase3_0","Treat as high-risk mixed file."
"src/learning/services/friday-self-healing-api-service.ts","M","protected_user_or_historical","Previously identified protected dirty learning work outside immediate Phase 3.0 scope.","Do not touch or stage unless user reclassifies a hunk.","blocked","Leave untouched during Phase 3.0."
"src/observability/services/friday-observability-api-service.ts","M","protected_user_or_historical","Previously identified protected dirty observability work outside immediate Phase 3.0 scope.","Do not touch or stage unless user reclassifies a hunk.","blocked","Leave untouched during Phase 3.0."
"src/plugins/services/friday-plugin-service.ts","M","phase3_wip","Plugin enablement and trust behavior appears tied to external plugin lifecycle.","Only touch in plugin lifecycle subphase after hunk explanation.","not_approved_for_phase3_0","Review trusted hash and canary boundaries later."
"src/plugins/services/friday-plugin-service.types.ts","M","phase3_wip","Plugin service types appear tied to lifecycle canary or trust semantics.","Only touch in plugin lifecycle subphase after hunk explanation.","not_approved_for_phase3_0","Review with service implementation later."
"src/providers/model/friday-runtime-capabilities.ts","M","phase3_wip","Runtime capability truth is part of provider and false-available closure.","Only touch in capability truth subphase after hunk explanation.","not_approved_for_phase3_0","Review available versus verified states later."
"src/providers/services/friday-provider-service.ts","M","phase3_wip","Provider validation and availability truth are part of Phase 3 decisions.","Only touch in provider validation subphase after hunk explanation.","not_approved_for_phase3_0","Review real validation and key handling later."
"src/sessions/services/friday-deterministic-dispatch.ts","M","phase3_wip","Dispatch changes may relate to capability availability or route truth.","Only touch in dispatch subphase after hunk explanation.","not_approved_for_phase3_0","Review before inclusion in later subphase."
"src/skills/converter/index.ts","M","phase3_wip","Converter exports appear related to candidate lifecycle types.","Only touch in external skill converter subphase after hunk explanation.","not_approved_for_phase3_0","Review with candidate store API later."
"src/skills/converter/services/friday-skill-converter-service.ts","M","phase3_wip","Converter service is central to preview-only and candidate staging decisions.","Only touch in external skill converter subphase after hunk explanation.","not_approved_for_phase3_0","Must reconcile current WIP with locked convert preview-only decision."
"src/skills/converter/services/friday-skill-converter-service.types.ts","M","phase3_wip","Converter service types are part of candidate API shape.","Only touch in external skill converter subphase after hunk explanation.","not_approved_for_phase3_0","Review route and service contract together later."
"src/skills/executor/friday-skill-executor.ts","M","phase3_wip","Executor availability gate is central to blocking unpromoted skills.","Only touch in runtime gate subphase after hunk explanation.","not_approved_for_phase3_0","Review internal canary boundary later."
"src/skills/executor/friday-skill-executor.types.ts","M","phase3_wip","Executor request type appears tied to internal lifecycle canary.","Only touch in runtime gate subphase after hunk explanation.","not_approved_for_phase3_0","Review public versus internal exposure later."
"test/e2e/friday-real-scenarios-e2e.test.ts","M","phase3_wip","E2E scenario expectations may be tied to truthful availability or setup flow.","Only touch in proof subphase after hunk explanation.","not_approved_for_phase3_0","Do not weaken assertions."
"test/e2e/live/friday-generator-maintenance-live.e2e.test.ts","M","phase3_wip","Live generator test appears tied to generated capability policy.","Only touch in live proof subphase after hunk explanation.","not_approved_for_phase3_0","Review with generated candidate rules later."
"test/e2e/live/friday-real-journeys.e2e.test.ts","M","phase3_wip","Live real journeys are release proof and must not be weakened.","Only touch in live proof subphase after hunk explanation.","not_approved_for_phase3_0","Review only to add true proof or align locked behavior."
"test/e2e/live/friday-self-upgrade-channel-adapter-live.e2e.test.ts","M","phase3_wip","Channel lifecycle live proof appears related to upgrade truth.","Only touch in live proof subphase after hunk explanation.","not_approved_for_phase3_0","Keep out of Phase 3.0 implementation."
"test/e2e/live/friday-self-upgrade-mcp-server-live.e2e.test.ts","M","phase3_wip","MCP lifecycle live proof appears related to external MCP truth.","Only touch in MCP proof subphase after hunk explanation.","not_approved_for_phase3_0","Review with MCP lifecycle."
"test/e2e/live/friday-self-upgrade-plugin-live.e2e.test.ts","M","phase3_wip","Plugin lifecycle live proof appears related to external plugin truth.","Only touch in plugin proof subphase after hunk explanation.","not_approved_for_phase3_0","Review with plugin lifecycle."
"test/e2e/live/friday-self-upgrade-provider-profile-live.e2e.test.ts","M","phase3_wip","Provider lifecycle live proof appears related to validation truth.","Only touch in provider proof subphase after hunk explanation.","not_approved_for_phase3_0","Review with provider validation."
"test/e2e/live/friday-self-upgrade-workflow-live.e2e.test.ts","M","phase3_wip","Workflow lifecycle live proof appears related to upgrade truth.","Only touch in workflow proof subphase after hunk explanation.","not_approved_for_phase3_0","Review with workflow lifecycle."
"test/e2e/plugins/friday-plugin-local-lifecycle.test.ts","M","phase3_wip","Plugin local lifecycle tests appear tied to trust and canary behavior.","Only touch in plugin test subphase after hunk explanation.","not_approved_for_phase3_0","Review with plugin implementation."
"test/e2e/setup-wizard.e2e.test.ts","M","phase3_wip","Setup wizard tests may reflect provider or availability truth changes.","Only touch in setup proof subphase after hunk explanation.","not_approved_for_phase3_0","Review only with matching UI changes."
"test/integration/hub/friday-hub-bootstrap-integration.test.ts","M","phase3_wip","Hub integration tests reflect bootstrap and runtime capability truth.","Only touch in hub integration subphase after hunk explanation.","not_approved_for_phase3_0","Review with hub bootstrap changes."
"test/unit/agent/runtime/friday-agent-answer-alignment.test.ts","M","phase3_wip","Agent wording tests reflect truthful capability messaging.","Only touch in agent truth test subphase after hunk explanation.","not_approved_for_phase3_0","Review with answer alignment changes."
"test/unit/agent/runtime/friday-agent-evidence-blocks.test.ts","M","phase3_wip","Evidence block tests reflect truth and proof wording.","Only touch in evidence test subphase after hunk explanation.","not_approved_for_phase3_0","Review with evidence implementation."
"test/unit/agent/runtime/friday-agent-system-prompt-builder.test.ts","M","phase3_wip","System prompt tests reflect model-visible availability.","Only touch in agent prompt test subphase after hunk explanation.","not_approved_for_phase3_0","Review with prompt builder changes."
