canonical_fix_id,row_id,origin,subsystem,severity_final,final_verdict,resolution_mode,target_wave,release_relevance,status,notes
ISSUE-00001,ISSUE-00001,existing,build/lint,P3,confirmed_but_statement_drifted,code_change,phase4-design-density,no,queued,"The lint script still exits 0 while reporting a large warning backlog, but the current counts drifted slightly from the original statement. package.json still maps npm run lint to eslint src. A fresh real run exited 0 and produced ✖ 1221 problems (0 errors, 1221 warnings), with the same dominant rule families as before: security/detect-object-injection=427, security/detect-non-literal-fs-filename=379, no-console=160, max-lines-per-function=135, complexity=111, plus 5 malformed ""'no-console')"" entries and 4 @typescript-eslint/no-explicit-any warnings."
ISSUE-00002,ISSUE-00002,existing,agent/autonomous,P2,partially_confirmed_scope_limited,code_change,phase4-design-density,no,queued,"The original “all five real-world forms fall through” statement is no longer true on current code. A current-source probe using the autonomous engine’s exact FILE_CONTENT_PATTERN_PRECEDENCE and quote wrappers shows that ASCII content-colon, backtick-quoted with-content, smart double quotes, and smart single quotes now all deterministically extract expected content. The remaining live blind spot is narrower: prose without any content keyword (for example “write the file so that X appears”) still produces no deterministic match and therefore would fall back to non-deterministic verification if the autonomous engine were invoked. Real Anthropic-backed main-runtime evidence from ISSUE-00008 also confirms that ordinary POST /v1/agent/runs tasks do not hit the autonomous engine by default, so the residual gap is both narrower and less user-facing than the original claim described."
ISSUE-00003,ISSUE-00003,existing,agent/autonomous/tests,P2,not_reproducible_current_code,regression_guard,phase5-regression-guards,no,queued,"Current source no longer supports the original “new exact-content patterns have zero live-e2e coverage” claim. The live restart test file now contains a dedicated exact-content case that executes the real Anthropic-backed autonomous engine, resumes after restart, and explicitly asserts the deterministic file step’s verificationPatternFamily is one of the newer content-oriented families such as with_content, contains_content, exact_content, content_is, contents_are, content_colon, or contents_colon. The older exact-text case is still present as a separate second test, so the new patterns are no longer uncovered by the live e2e suite."
ISSUE-00004,ISSUE-00004,existing,docs/release-notes,P3,confirmed_exact,code_change,phase4-design-density,no,queued,"The release-note/commit wording says replay, while friday-autonomous-engine uses resumeFromExistingPlan only when stepIds survive; otherwise it immediately calls planGoal again."
ISSUE-00005,ISSUE-00005,existing,api/http,P2,confirmed_but_statement_drifted,code_change,phase4-design-density,no,queued,"Current source still defines packaging routes and mounts them only when deps.packaging is present; hub bootstrap still only populates packagingDeps when FRIDAY_PACKAGING_ENABLED=true. Live default main hub still returns 404 for /v1/packages, /v1/packages/installs, /v1/packages/lifecycle, and /v1/packages/keys. The drift is that this row originally bundled packaging with other dark surfaces; the current confirmation here is the packaging surface plus the same optional-mount pattern, not a fresh recount of every desktop-related endpoint."
ISSUE-00006,ISSUE-00006,existing,api/http/system,P3,not_reproducible_current_code,regression_guard,phase5-regression-guards,no,queued,"Current main runtime GET /v1/system/state completed in 13ms, not 1499ms. Current route still delegates to deps.state.get(), and buildSnapshot only takes the expensive companion capture path when companion.connected=true; the current runtime state is companionConnected=false, so the original 1.5s claim is not supported on current code/runtime."
ISSUE-00007,ISSUE-00007,existing,agent/runs + write-tool,P1,confirmed_but_statement_drifted,code_change,phase3c-agent-provider-family,yes,verified_targeted_tests,"Closed via targeted runtime verification. Agent runs now fail terminally when the task explicitly requests a file mutation but every file-mutating tool call fails, so blocked writes outside the workspace root can no longer persist a misleading `completed` terminal run even when the assistant truthfully explains the failure and self-tests otherwise pass. Targeted runtime coverage passed (1 file / 121 tests observed, no type errors)."
ISSUE-00008,ISSUE-00008,existing,agent/autonomous/surfaces,P2,confirmed_exact,code_change,phase4-design-density,no,queued,"Current source and real Anthropic-backed live runs still show that the autonomous engine is not the default user-facing path for plain POST /v1/agent/runs tasks. The only exposed autonomous entry point is the internal agent tool named autonomous with action execute_goal/list/resume/cancel/get, while visible HTTP runs are explicitly filtered to hide autonomous_internal_* surfaces. A real main-runtime file-creation task phrased with exact-content wording never emitted autonomous.* events and instead executed the regular write tool route, proving the default user path does not reach extractExpectedFileContent or the autonomous verifier patterns."
ISSUE-00009,ISSUE-00009,existing,heartbeat,P2,confirmed_but_statement_drifted,code_change,phase4-design-density,no,queued,"Heartbeat support exists in current source, but the default main runtime still exposes a dead status surface. `resolveFridayCapabilityGates()` only enables heartbeat when `FRIDAY_HEARTBEAT_ENABLED=true`; hub bootstrap only creates `heartbeatStateRef` and the runner/job inside that gate; and the observability API returns `{lastRunAt:null,result:""unknown"",intervalMs:null,nextRunAt:null}` whenever the getter resolves to null. Real main-runtime GET `/v1/heartbeat/status` still returned the all-null/unknown payload, so the main-runtime problem remains even though current code now has a gated scheduler implementation."
ISSUE-00010,ISSUE-00010,existing,provider-usage/ledger,P2,partially_confirmed_scope_limited,code_change,phase4-design-density,no,queued,"The old ""provider ledger stays zero while session usage sees the run"" statement no longer reproduces on current code. Real Anthropic main-runtime run 4c67478f-ec41-416c-ac74-1dd654c19e4e wrote both friday_agent_runs and llm_usage_records; /v1/providers/usage?from=2026-04-19&to=2026-04-19 returned the same provider-day aggregate that SQLite reported for llm_usage_records, and /v1/sessions/agent:run:4c67478f-ec41-416c-ac74-1dd654c19e4e/usage matched the run row for that session. A narrower accounting gap remains: run/session surfaces expose input=165, output=19, costUsd=0.082683 but do not expose cache_write_tokens, while the provider ledger row for the same run includes cache_write_tokens=27301. Friday pricing source currently prices Anthropic claude-sonnet cache writes at $3.00/MTok, while Anthropic official pricing currently lists Claude Sonnet 4 cache writes at $3.75/MTok (5m) and $6.00/MTok (1h): https://www.anthropic.com/pricing and https://docs.anthropic.com/en/docs/about-claude/p"
