row_id,canonical_fix_id,resolution_mode,target_wave,required_evidence,release_relevance
ISSUE-00001,ISSUE-00001,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00002,ISSUE-00002,code_change,phase4-design-density,source+live+state,no
ISSUE-00003,ISSUE-00003,regression_guard,phase5-regression-guards,source+live+state,no
ISSUE-00004,ISSUE-00004,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00005,ISSUE-00005,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00006,ISSUE-00006,regression_guard,phase5-regression-guards,>=2_of_3_prefer_3,no
ISSUE-00007,ISSUE-00007,code_change,phase3c-agent-provider-family,source+live+state,yes
ISSUE-00008,ISSUE-00008,code_change,phase4-design-density,source+live+state,no
ISSUE-00009,ISSUE-00009,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00010,ISSUE-00010,code_change,phase4-design-density,source+live+state,no
ISSUE-00011,ISSUE-00011,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00012,ISSUE-00012,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00013,ISSUE-00013,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00014,ISSUE-00014,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00015,ISSUE-00015,regression_guard,phase5-regression-guards,source+live+state,yes
ISSUE-00016,ISSUE-00016,regression_guard,phase5-regression-guards,source+live+state,no
ISSUE-00017,ISSUE-00017,code_change,phase4-design-density,source+live+state,no
ISSUE-00018,ISSUE-00018,regression_guard,phase5-regression-guards,source+live+state,yes
ISSUE-00019,ISSUE-00019,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00020,ISSUE-00020,regression_guard,phase5-regression-guards,source+live+state,yes
ISSUE-00021,ISSUE-00021,code_change,phase3z-p1-other,source+live+state,yes
ISSUE-00022,ISSUE-00022,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00023,ISSUE-00023,code_change,phase4-design-density,source+live+state,no
ISSUE-00024,ISSUE-00024,code_change,phase4-design-density,source+live+state,no
ISSUE-00025,ISSUE-00025,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00026,ISSUE-00026,code_change,phase2-release-blockers,source+live+state,main-runtime-open-blocker
ISSUE-00027,ISSUE-00027,regression_guard,phase5-regression-guards,source+live+state,no
ISSUE-00028,ISSUE-00028,code_change,phase3z-p1-other,source+live+state,yes
ISSUE-00029,ISSUE-00029,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00030,ISSUE-00030,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00031,ISSUE-00031,code_change,phase4-design-density,source+live+state,no
ISSUE-00032,ISSUE-00032,code_change,phase4-design-density,source+live+state,no
ISSUE-00033,ISSUE-00033,code_change,phase3z-p1-other,source+live+state,yes
ISSUE-00034,ISSUE-00034,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00035,ISSUE-00035,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00036,ISSUE-00036,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00037,ISSUE-00037,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00038,ISSUE-00038,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00039,ISSUE-00163,merge_only,phase6-duplicate-regression,>=2_of_3_prefer_3,no
ISSUE-00040,ISSUE-00040,code_change,phase3d-api-security-family,source+live+state,yes
ISSUE-00041,ISSUE-00041,code_change,phase3c-agent-provider-family,source+live+state,yes
ISSUE-00042,ISSUE-00042,code_change,phase3a-workflow-family,source+live+state,yes
ISSUE-00043,ISSUE-00043,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00044,ISSUE-00044,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00045,ISSUE-00045,code_change,phase3d-api-security-family,source+live+state,yes
ISSUE-00046,ISSUE-00046,code_change,phase3d-api-security-family,source+live+state,yes
ISSUE-00047,ISSUE-00047,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00048,ISSUE-00048,code_change,phase3z-p1-other,source+live+state,yes
ISSUE-00049,ISSUE-00049,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00050,ISSUE-00050,code_change,phase4-design-density,source+live+state,no
ISSUE-00051,ISSUE-00051,code_change,phase4-design-density,source+live+state,no
ISSUE-00052,ISSUE-00052,code_change,phase4-design-density,source+live+state,no
ISSUE-00053,ISSUE-00053,code_change,phase3c-agent-provider-family,source+live+state,yes
ISSUE-00054,ISSUE-00054,code_change,phase4-design-density,source+live+state,no
ISSUE-00055,ISSUE-00055,code_change,phase3b-memory-ledger-family,source+live+state,yes
ISSUE-00056,ISSUE-00056,code_change,phase3z-p1-other,source+live+state,yes
ISSUE-00057,ISSUE-00057,code_change,phase3b-memory-ledger-family,source+live+state,yes
ISSUE-00058,ISSUE-00058,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00059,ISSUE-00059,code_change,phase3a-workflow-family,source+live+state,yes
ISSUE-00060,ISSUE-00060,code_change,phase4-design-density,source+live+state,no
ISSUE-00061,ISSUE-00061,code_change,phase4-design-density,source+live+state,no
ISSUE-00062,ISSUE-00062,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00063,ISSUE-00063,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00064,ISSUE-00064,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00065,ISSUE-00065,code_change,phase3d-api-security-family,source+live+state,yes
ISSUE-00066,ISSUE-00066,code_change,phase4-design-density,source+live+state,no
ISSUE-00067,ISSUE-00067,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00068,ISSUE-00068,code_change,phase4-design-density,source+live+state,no
ISSUE-00069,ISSUE-00069,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00070,ISSUE-00070,code_change,phase3a-workflow-family,source+live+state,yes
ISSUE-00071,ISSUE-00013,merge_only,phase6-duplicate-regression,>=2_of_3_prefer_3,no
ISSUE-00072,ISSUE-00036,merge_only,phase6-duplicate-regression,>=2_of_3_prefer_3,no
ISSUE-00073,ISSUE-00073,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00074,ISSUE-00074,code_change,phase3z-p1-other,source+live+state,yes
ISSUE-00075,ISSUE-00075,code_change,phase3e-learning-observability-family,source+live+state,yes
ISSUE-00076,ISSUE-00076,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00077,ISSUE-00174,merge_only,phase6-duplicate-regression,>=2_of_3_prefer_3,no
ISSUE-00078,ISSUE-00037,merge_only,phase6-duplicate-regression,>=2_of_3_prefer_3,no
ISSUE-00079,ISSUE-00079,code_change,phase4-design-density,source+live+state,no
ISSUE-00080,ISSUE-00080,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00081,ISSUE-00081,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00082,ISSUE-00082,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00083,ISSUE-00083,code_change,phase3a-workflow-family,source+live+state,yes
ISSUE-00084,ISSUE-00056,merge_only,phase6-duplicate-regression,source+live+state,yes
ISSUE-00085,ISSUE-00085,code_change,phase3e-learning-observability-family,source+live+state,yes
ISSUE-00086,ISSUE-00086,code_change,phase3z-p1-other,source+live+state,yes
ISSUE-00087,ISSUE-00087,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00088,ISSUE-00088,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00089,ISSUE-00049,merge_only,phase6-duplicate-regression,>=2_of_3_prefer_3,no
ISSUE-00090,ISSUE-00090,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00091,ISSUE-00091,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00092,ISSUE-00092,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00093,ISSUE-00093,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00094,ISSUE-00094,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00095,ISSUE-00095,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00096,ISSUE-00096,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00097,ISSUE-00097,regression_guard,phase5-regression-guards,source+live+state,no
ISSUE-00098,ISSUE-00181,merge_only,phase6-duplicate-regression,source+live+state,no
ISSUE-00099,ISSUE-00099,code_change,phase4-design-density,source+live+state,no
ISSUE-00100,ISSUE-00100,code_change,phase2-release-blockers,source+live+state,main-runtime-open-blocker
ISSUE-00101,ISSUE-00101,code_change,phase3a-workflow-family,source+live+state,yes
ISSUE-00102,ISSUE-00102,regression_guard,phase5-regression-guards,source+live+state,yes
ISSUE-00103,ISSUE-00103,code_change,phase3d-api-security-family,source+live+state,yes
ISSUE-00104,ISSUE-00104,code_change,phase2-release-blockers,source+live+state,main-runtime-open-blocker
ISSUE-00105,ISSUE-00105,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00106,ISSUE-00106,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00107,ISSUE-00107,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00108,ISSUE-00108,code_change,phase4-design-density,source+live+state,no
ISSUE-00109,ISSUE-00109,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00110,ISSUE-00110,code_change,phase4-design-density,source+live+state,no
ISSUE-00111,ISSUE-00111,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00112,ISSUE-00040,merge_only,phase6-duplicate-regression,source+live+state,yes
ISSUE-00113,ISSUE-00113,code_change,phase3b-memory-ledger-family,source+live+state,yes
ISSUE-00114,ISSUE-00114,code_change,phase3b-memory-ledger-family,source+live+state,yes
ISSUE-00115,ISSUE-00115,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00116,ISSUE-00116,regression_guard,phase5-regression-guards,source+live+state,yes
ISSUE-00117,ISSUE-00117,code_change,phase2-release-blockers,source+live+state,main-runtime-open-blocker
ISSUE-00118,ISSUE-00118,code_change,phase4-design-density,source+live+state,no
ISSUE-00119,ISSUE-00119,code_change,phase4-design-density,source+live+state,no
ISSUE-00120,ISSUE-00120,code_change,phase4-design-density,source+live+state,no
ISSUE-00121,ISSUE-00121,code_change,phase4-design-density,source+live+state,no
ISSUE-00122,ISSUE-00122,code_change,phase4-design-density,source+live+state,no
ISSUE-00123,ISSUE-00123,code_change,phase4-design-density,source+live+state,no
ISSUE-00124,ISSUE-00124,code_change,phase3a-workflow-family,source+live+state,yes
ISSUE-00125,ISSUE-00125,regression_guard,phase5-regression-guards,source+live+state,yes
ISSUE-00126,ISSUE-00126,code_change,phase3e-learning-observability-family,source+live+state,yes
ISSUE-00127,ISSUE-00127,code_change,phase3b-memory-ledger-family,source+live+state,yes
ISSUE-00128,ISSUE-00033,merge_only,phase6-duplicate-regression,source+live+state,yes
ISSUE-00129,ISSUE-00129,code_change,phase3z-p1-other,source+live+state,yes
ISSUE-00130,ISSUE-00130,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00131,ISSUE-00131,code_change,phase4-design-density,source+live+state,no
ISSUE-00132,ISSUE-00132,code_change,phase4-design-density,source+live+state,no
ISSUE-00133,ISSUE-00133,code_change,phase3a-workflow-family,source+live+state,yes
ISSUE-00134,ISSUE-00134,code_change,phase3a-workflow-family,source+live+state,yes
ISSUE-00135,ISSUE-00135,regression_guard,phase5-regression-guards,source+live+state,yes
ISSUE-00136,ISSUE-00136,code_change,phase3e-learning-observability-family,source+live+state,yes
ISSUE-00137,ISSUE-00137,code_change,phase3e-learning-observability-family,source+live+state,yes
ISSUE-00138,ISSUE-00138,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00139,ISSUE-00139,code_change,phase4-design-density,source+live+state,no
ISSUE-00140,ISSUE-00140,code_change,phase3d-api-security-family,source+live+state,yes
ISSUE-00141,ISSUE-00141,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00142,ISSUE-00142,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00143,ISSUE-00143,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00144,ISSUE-00144,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00145,ISSUE-00145,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00146,ISSUE-00146,code_change,phase3z-p1-other,source+live+state,yes
ISSUE-00147,ISSUE-00147,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00148,ISSUE-00148,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00149,ISSUE-00149,code_change,phase3c-agent-provider-family,source+live+state,yes
ISSUE-00150,ISSUE-00150,code_change,phase3b-memory-ledger-family,source+live+state,yes
ISSUE-00151,ISSUE-00151,code_change,phase4-design-density,source+live+state,no
ISSUE-00152,ISSUE-00152,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00153,ISSUE-00153,code_change,phase3c-agent-provider-family,source+live+state,yes
ISSUE-00154,ISSUE-00154,code_change,phase3a-workflow-family,source+live+state,yes
ISSUE-00155,ISSUE-00040,merge_only,phase6-duplicate-regression,source+live+state,yes
ISSUE-00156,ISSUE-00156,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00157,ISSUE-00157,regression_guard,phase5-regression-guards,>=2_of_3_prefer_3,no
ISSUE-00158,ISSUE-00158,code_change,phase3d-api-security-family,source+live+state,yes
ISSUE-00159,ISSUE-00159,regression_guard,phase5-regression-guards,source+live+state,yes
ISSUE-00160,ISSUE-00160,code_change,phase4-design-density,source+live+state,no
ISSUE-00161,ISSUE-00161,code_change,phase3b-memory-ledger-family,source+live+state,yes
ISSUE-00162,ISSUE-00162,code_change,phase4-design-density,source+live+state,no
ISSUE-00163,ISSUE-00163,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00164,ISSUE-00164,code_change,phase3d-api-security-family,source+live+state,yes
ISSUE-00165,ISSUE-00165,code_change,phase3d-api-security-family,source+live+state,yes
ISSUE-00166,ISSUE-00166,code_change,phase4-design-density,>=2_of_3_prefer_3,no
