"status","area","summary","next_action","reason","evidence"
"DONE","tests-overnight","Moved tests-overnight into the main worktree and version control.","None for this item.","User requested tests-overnight be moved into the main worktree.","tests-overnight/"
"DONE","overnight auth","Removed email/password style overnight login usage; gauntlet now bootstraps and uses localPassphrase.","None for this item.","User explicitly requested no email+password login.","tests-overnight/lib/util.mjs; tests-overnight/phases/phase-X-ui-wizard.mjs"
"DONE","workspace sandbox","Kept overnight fixtures and captures under the workspace .friday/overnight-gauntlet area.","None for this item.","User requested workspace sandbox and fixtures in workspace.","tests-overnight/lib/util.mjs; tests-overnight/lib/fixtures.mjs"
"DONE","overnight false positive: LINE classifier","Narrowed LINE setup classification so ordinary text containing line is not misrouted.","None for this item.","The old classifier treated normal wording as LINE setup guidance.","src/sessions/services/friday-execution-classifier.ts; test/unit/sessions/friday-execution-classifier.test.ts"
"DONE","overnight false positive: self-healing overview","Fixed self-healing overview table names so diagnosis and incident counts use real tables.","None for this item.","The API queried stale friday_* table names and underreported learning coverage.","src/learning/services/friday-self-healing-api-service.ts; test/unit/learning/services/friday-self-healing-api-service.test.ts"
"DONE","WebSocket RFC compliance","Fixed the WebSocket accept GUID in both HTTP server and webchat service.","None for this item.","The old GUID produced non-RFC Sec-WebSocket-Accept values.","src/api/http/friday-http-server.ts; src/channels/webchat/webchat-service.ts; test/unit/api/http/friday-http-server-ws-upgrade.test.ts"
"DONE","skill generator safety","Added unsafe local security bypass goal rejection before LLM generation.","None for this item.","Dangerous skill generation prompts should be blocked before provider calls.","src/skills/generator/services/friday-skill-generator-service.ts; test/unit/skills/generator/services/friday-skill-generator-service.test.ts"
"DONE","boot diagnostics","Suppressed expected provider no-routing startup diagnostics outside Vitest-only logic.","None for this item.","Normal boot without verified providers should not emit misleading warnings.","src/hub/friday-hub-bootstrap.ts"
"DONE","memory file sync","Rotated deferred dirty rows to avoid starving newer memory namespace exports; Phase O now polls and verifies re-import.","None for this item.","Old below-threshold session dirty rows could block new memory exports and create Phase O false negatives.","src/memory/sync/friday-memory-file-sync-repository.ts; src/memory/sync/friday-memory-file-sync-service.ts; test/unit/memory/sync/friday-memory-file-sync-service.test.ts; tests-overnight/phases/phase-O-memory-file-sync.mjs"
"DONE","provider preconditions","Provider-dependent phases now SKIP when no verified text provider/model route exists instead of FAILing as product bugs.","None for this item.","Invalid or missing provider credentials made B/E/F/H/I/P/V report false product failures.","tests-overnight/lib/util.mjs; tests-overnight/phases/phase-B-chat-drift.mjs; tests-overnight/phases/phase-E-multimodal.mjs; tests-overnight/phases/phase-F-web-browser-mcp.mjs; tests-overnight/phases/phase-H-agent-loop.mjs; tests-overnight/phases/phase-I-subagents.mjs; tests-overnight/phases/phase-P-provider-fallback.mjs; tests-overnight/phases/phase-V-ssrf.mjs"
"DONE","DeepSeek setup","Added DEEPSEEK_API_KEY and FRIDAY_DEEPSEEK_API_KEY environment auto-detection with deepseek-v4-pro/deepseek-v4-flash defaults; updated provider template defaults.","None for this item.","User corrected that the supplied key is for DeepSeek, not OpenAI; DeepSeek docs list deepseek-v4-pro and deepseek-v4-flash as current V4 API models.","src/hub/friday-hub-bootstrap.ts; src/providers/model/friday-provider-templates.ts"
"DONE","DeepSeek api path","Switched the deepseek catalog preset from openai-responses to openai-completions because api.deepseek.com only ships /v1/chat/completions; the validator passed against /v1/models but every chat call 404'd at runtime.","None for this item.","Live FAST gauntlet showed Phase B SKIPping with provider-precondition; server log revealed deepseek-v4-pro returning 404 on /v1/responses while /v1/chat/completions returned a valid completion.","src/providers/model/friday-provider-catalog.ts; test/unit/providers/model/friday-provider-templates.test.ts; test/integration/hub/friday-hub-bootstrap-integration.test.ts"
"DONE","capability probe budget","Bumped capability-doctor probe max_tokens from 16 to 256 (and openai-responses max_output_tokens 32 to 256) so reasoning-first models like deepseek-v4-pro/flash do not exhaust their budget on reasoning_content before producing the OK marker.","None for this item.","The old budget left reasoning models with finish_reason=length and empty content; every text capability probe failed with 'Capability probe returned unexpected output'.","src/providers/services/friday-provider-service.ts"
