+ claude/cranky-colden                             fddce67 (/path/to/friday/.claude/worktrees/cranky-colden) test(ci): replace high-entropy discord placeholder token
  claude/review-friday-codebase-JQ9x5              b4f0fd8 [origin/claude/review-friday-codebase-JQ9x5] fix: update observability routes test for new SLO CRUD endpoints
+ codex/efficiency-audit-fixes                     3fc9983 (/path/to/friday) [origin/codex/efficiency-audit-fixes] docs: trim trailing whitespace in audit reports
+ codex/fix-2026-03-30-nightly                     94169f8 (/path/to/friday-nightly-fix) [origin/codex/fix-2026-03-30-nightly] fix: stabilize nightly CI and CLI entrypoint checks
  codex/fix-file-tool-workspace-path               89ad6dc [origin/codex/fix-file-tool-workspace-path] fix real-world file tool workspace path
  codex/fix-real-world-smoke-followups             faac6c9 [origin/codex/fix-real-world-smoke-followups] fix real-world smoke follow-ups
  codex/friday-real-validation-2026-03-31          8030a92 [origin/codex/friday-real-validation-2026-03-31] Add Friday real validation evidence bundle for 2026-03-31
  codex/full-audit-2026-03-29                      d8c18f9 [origin/codex/full-audit-2026-03-29] fix: harden audit gates and release readiness workflows
  codex/gha-node24-upgrade                         9f2ef5e [origin/codex/gha-node24-upgrade] ci: upgrade GitHub Actions to Node 24 runtime
  codex/protect-uncommitted-before-rebase-20260327 aafd891 WIP: protect local changes before rebase
  codex/provider-backend-auth-matrix               2eef6f1 [origin/codex/provider-backend-auth-matrix] test: align route assertions with tenant context
  codex/routing-decision-trace-maturation          05bbcbe [origin/codex/routing-decision-trace-maturation] ci: refresh secrets baseline after routing trace changes
  codex/self-evolution-snapshot-2026-04-01         34661d2 WIP: snapshot self-evolution explainability and live coverage work
  codex/tier1-live-env-contracts                   65c82de [origin/codex/tier1-live-env-contracts] ci: refresh secrets baseline after routing trace changes
+ laughing-hugle                                   440807d (/Users/dev/.claude-worktrees/Friday/laughing-hugle) fix: second-round audit remediation — P2 remaining fixes + learned-facts endpoint
* main                                             e51de41 [origin/main] Merge pull request #82 from thesongzhu/claude/investigate-twitter-thread-4PNHG
+ serene-chaum                                     3f7e10e (/Users/dev/.claude-worktrees/Friday/serene-chaum) [origin/serene-chaum: gone] fix: comprehensive audit remediation — P0/P1/P2 fixes + code quality sweep
