date,total
2026-03-22T21:18:00.000Z,340
2026-03-23T21:18:00.000Z,382
2026-03-24T21:18:00.000Z,424
2026-03-25T21:18:00.000Z,466
2026-03-26T21:18:00.000Z,412
2026-03-27T21:18:00.000Z,454
2026-03-28T21:18:00.000Z,496
2026-03-29T21:18:00.000Z,538
2026-03-30T21:18:00.000Z,484
2026-03-31T21:18:00.000Z,526
2026-04-01T21:18:00.000Z,568
2026-04-02T21:18:00.000Z,610
2026-04-03T21:18:00.000Z,556
2026-04-04T21:18:00.000Z,598
2026-04-05T21:18:00.000Z,640
2026-04-06T21:18:00.000Z,682
2026-04-07T21:18:00.000Z,628
2026-04-08T21:18:00.000Z,670
2026-04-09T21:18:00.000Z,712
2026-04-10T21:18:00.000Z,754
2026-04-11T21:18:00.000Z,700
2026-04-12T21:18:00.000Z,742
2026-04-13T21:18:00.000Z,784
2026-04-14T21:18:00.000Z,826
2026-04-15T21:18:00.000Z,772
2026-04-16T21:18:00.000Z,814
2026-04-17T21:18:00.000Z,856
2026-04-18T21:18:00.000Z,898
2026-04-19T21:18:00.000Z,844
2026-04-20T21:18:00.000Z,886
