"ID","Capability Area","Integration Goal","Friday Current Implementation (Evidence)","OpenClaw Reference (Evidence)","Key Gap/Risk","Minimal Change Action","Acceptance Criteria (Automation First)","Priority","Status"
"OC-001","Model Routing and Fallback","Make failures observable and ensure stable fallback to available models","./src/providers/services/friday-provider-service.ts:685 | ./src/providers/routing/friday-provider-fallback.ts:196 | ./src/hub/friday-hub-bootstrap.ts:1049","<openclaw-repo>/src/agents/model-fallback.ts:209","Friday attempt logs lack reason/status/code and have no auth-profile cooldown granularity","Extend FridayProviderAttempt fields and introduce profile-level cooldown/skip","Inject 429/503/timeout and assert attempts include reason/status/code with ordered fallback","P0","DONE"
"OC-002","Primary Model Pinning","After user selection, primary model must not silently drift to local model","./src/providers/services/friday-provider-service.ts:730 | ./src/hub/friday-hub-bootstrap.ts:196","<openclaw-repo>/src/agents/model-fallback.ts:130","Budget strategy may force-switch to ollama and cause model drift","Add routing.enforceRequestedModel switch and persist providerId/model","After setting ChatGPT as primary model and restart, actualModel stays equal to user selection","P0","DONE"
"OC-003","Single Source of Config Truth","Runtime must use one config source only to avoid drift","./src/hub/friday-hub-bootstrap.ts:1298 | ./src/hub/friday-hub-bootstrap.ts:310 | ./src/config/friday-config.schema.ts:21","<openclaw-repo>/src/config/io.ts:529 | <openclaw-repo>/src/config/io.ts:820","Friday currently has dual sources: config.channels and friday_setup_state","Unify to a single source of truth and remove fallback branch (keep the other as read-only cache)","After editing either config and restarting, hash stays stable with no reverse overwrite","P0","DONE"
"OC-004","Discord Inbound Pipeline","Support debounced/preflighted/stable inbound handling under burst traffic","./src/hub/friday-hub-bootstrap.ts:2113","<openclaw-repo>/src/discord/monitor/message-handler.ts:44","Friday direct callback path lacks debounce/preflight and can jitter on bursts","Move Discord inbound to dedicated handler: debounce -> preflight -> process","Under 20 messages in 2 seconds, pipeline triggers one controlled batch or bounded batching","P0","DONE"
"OC-005","Typing UX","Typing indicator should be accurate during reply and stop promptly","./src/hub/friday-hub-bootstrap.ts:2141 | ./src/hub/friday-hub-bootstrap.ts:2190","<openclaw-repo>/src/discord/monitor/message-handler.process.ts:357","Current global pulse is coarse and not channel-lifecycle aware","Switch to dispatch-lifecycle typing callbacks while keeping pulse fallback","When model reply takes >2s, Discord shows continuous typing and stops immediately on completion","P1","DONE"
"OC-006","Multi-turn Context","Ensure context truly enters model with correct thread semantics","./src/hub/friday-hub-bootstrap.ts:2154 | ./test/integration/agent/friday-openclaw-overlap-acceptance.test.ts:70","<openclaw-repo>/src/discord/monitor/message-handler.ts:91 | <openclaw-repo>/src/routing/resolve-route.ts:289","Friday has basic history replay but lacks thread/reply-level context packaging","Inject thread/reply metadata into session key and history packer","Follow-up inside thread hits thread-local history instead of noisy channel-wide history","P1","DONE"
"OC-007","Tool Execution Truthfulness","Prevent verbal claims of execution and enforce tool_result integrity","./src/agent/runtime/friday-agent-runtime.ts:412 | ./src/agent/runtime/friday-agent-runtime.ts:890","<openclaw-repo>/src/agents/session-tool-result-guard.ts:75","Friday only adds completion-claim text warning; no transcript-level tool_result repair","Add tool_result guard (missing-result synthesis, oversize truncation, persistence consistency)","When tool_result is intentionally dropped, transcript auto-repairs and run continues","P0","DONE"
"OC-008","ReadOnly Policy","Block all side-effect browser acts in readOnly runs","./src/agent/runtime/friday-agent-tool-mutation.ts:17 | ./src/agent/tools/friday-agent-browser-tool.ts:158","<openclaw-repo>/src/agents/tools/browser-tool.ts:299","Classifier reads args.action only and misses action=act + act=click/type cases","Fix classifier to inspect args.act when action=act","In readOnly mode, browser act click/type are consistently blocked","P0","DONE"
"OC-009","Visible Browser Control","Support user-visible browser control, not only headless sessions","./src/browser/friday-browser-manager.ts:149 | ./src/browser/friday-browser-manager.ts:220","<openclaw-repo>/src/agents/tools/browser-tool.ts:225","Friday defaults to headless; actions execute but are not visible to users","Add host browser bridge/relay mode with profile selection","When user asks ""open Google"" in Discord, host-visible tab opens","P0","DONE"
"OC-010","Desktop Control Wiring","Desktop capability must be truly callable at runtime","./src/agent/tools/friday-agent-tool-registry.ts:206 | ./src/hub/friday-hub-bootstrap.ts:1150","<openclaw-repo>/src/agents/tools/browser-tool.ts:81","desktop tool appears only if desktopSessionManager is injected; bootstrap currently does not inject it","Create and inject createDesktopSessionManager in hub bootstrap","After startup, tool list contains desktop and baseline actions succeed","P1","DONE"
