blocker_id,phase_found,row_or_issue_ref,severity,status,summary,evidence_paths
FIX-BLK-20260419-001,phase2,CAND-20260419-010,P1,closed,workflow lock persistence path drift fixed and phase2 blocker-group1 rerun now closes source/live/state on workflow_locks,audit-fix/post-fix-evidence/blocker-group1-rerun/workflow-lock-acquire-valid.json;audit-fix/post-fix-evidence/blocker-group1-rerun/workflow-lock-valid-db.json;audit-fix/post-fix-evidence/blocker-group1-rerun/workflow-lock-release-db.json;src/workflows/builder/persistence/friday-workflow-builder-lock-repository.ts;src/api/conflicts/friday-workflow-conflict-service.ts
FIX-BLK-20260419-002,phase2,CAND-20260419-012,P1,closed,session memory remember path no longer duplicates memory_items for already extracted messages after source-level idempotency filter and main-runtime rerun,audit-fix/post-fix-evidence/session-memory-rerun/memory-extract.json;audit-fix/post-fix-evidence/session-memory-rerun/memory-remember.json;audit-fix/post-fix-evidence/session-memory-rerun/session-messages-db.json;audit-fix/post-fix-evidence/session-memory-rerun/memory-items-db.json;audit-fix/post-fix-evidence/session-memory-idempotency-rerun/memory-remember.json;audit-fix/post-fix-evidence/session-memory-idempotency-rerun/session-memory-summary.json;audit-fix/post-fix-evidence/session-memory-idempotency-rerun/memory-items-after-remember-db.json;src/sessions/services/friday-session-memory-extraction-service.ts;test/unit/sessions/services/friday-session-memory-extraction-service.test.ts
FIX-BLK-20260419-003,phase2,ISSUE-00173,P1,closed,idle self-churn no longer auto-generates incidents/actions from deterministic missing-skill workflow failures after retryable truth + diagnosis suppression + retry verifier fix,audit-fix/post-fix-evidence/issue-00173-rerun/issue-00173-summary.json;audit-fix/post-fix-evidence/issue-00173-rerun/post-failure-learning-rows.json;audit-fix/post-fix-evidence/issue-00173-rerun/post-soak-learning-rows.json;audit-fix/post-fix-evidence/issue-00173-main-runtime.log;src/workflows/services/friday-workflow-execution-service.ts;src/learning/services/friday-error-diagnosis-service.ts;src/hub/bootstrap/hub-helpers.ts;src/hub/friday-hub-bootstrap.ts
FIX-BLK-20260419-004,phase3,ISSUE-00040|ISSUE-00042|ISSUE-00083,P1,closed,"alert-rule validation/status family now returns real 4xx instead of masked 500, and DELETE etag flows through after DELETE body parsing was enabled",audit-fix/post-fix-evidence/issue-00040-rerun/issue-00040-summary.json;audit-fix/post-fix-evidence/issue-00040-rerun/alert-rule-invalid-create.json;audit-fix/post-fix-evidence/issue-00040-rerun/alert-rule-valid-create.json;audit-fix/post-fix-evidence/issue-00040-rerun/alert-rule-delete.json;audit-fix/post-fix-evidence/issue-00040-rerun/runtime-log-tail.txt;src/errors/friday-domain-error.ts;src/api/http/friday-http-server.ts;test/unit/api/http/friday-http-error-mapper.test.ts;test/unit/api/http/friday-http-server-head-body.test.ts
FIX-BLK-20260419-005,phase3,ISSUE-00033|ISSUE-00128,P1,closed,/v1/mcp main-runtime surface now resolves as a truthful disabled capability (501 CAPABILITY_DISABLED) instead of a dark route,audit-fix/post-fix-evidence/issue-00033-rerun/issue-00033-summary.json;audit-fix/post-fix-evidence/issue-00033-rerun/health.json;audit-fix/post-fix-evidence/issue-00033-rerun/mcp-initialize.json;src/api/http/routes/friday-mcp-server-routes.ts;src/api/runtime/friday-api-runtime.ts;src/api/http/routes/friday-capability-disabled.ts
FIX-BLK-20260419-006,phase3,ISSUE-00045|ISSUE-00046,P1,closed,channel persona routes now reject unknown channel kinds and bootstrap sanitizes stale unknown persona entries from hub_settings,audit-fix/post-fix-evidence/issue-00045-rerun/issue-00045-summary.json;audit-fix/post-fix-evidence/issue-00045-rerun/persona-state-before.json;audit-fix/post-fix-evidence/issue-00045-rerun/persona-state-after.json;audit-fix/post-fix-evidence/issue-00045-rerun/fake-persona-get.json;audit-fix/post-fix-evidence/issue-00045-rerun/fake-persona-put.json;audit-fix/post-fix-evidence/issue-00045-rerun/runtime-log-tail.txt;src/api/http/routes/friday-channel-routes.ts;src/hub/friday-hub-bootstrap.ts;test/unit/api/http/routes/friday-channel-routes.test.ts
FIX-BLK-20260419-007,phase3,ISSUE-00186,P1,closed,session-token revoke now has a truthful access-token registry and main-runtime revocation closes both tracked and legacy token paths,audit-fix/post-fix-evidence/issue-00186-rerun/issue-00186-summary.json;audit-fix/post-fix-evidence/issue-00186-rerun/state-before.json;audit-fix/post-fix-evidence/issue-00186-rerun/state-after.json;audit-fix/post-fix-evidence/issue-00186-rerun/legacy-auth-me.json;audit-fix/post-fix-evidence/issue-00186-rerun/runtime-log-tail.txt;src/api/auth/friday-auth-service.ts;src/api/auth/friday-token-validator.ts;src/api/persistence/friday-api-token-repository.ts;src/api/runtime/friday-api-runtime.ts;src/state/sqlite/migrations/v072-auth-access-token-registry.ts;test/e2e/api/friday-api-audit-verification.test.ts;test/unit/api/runtime/friday-api-runtime-revocation-persistence.test.ts;test/unit/api/runtime/friday-api-runtime-token-revocation.test.ts
FIX-BLK-20260419-008,phase3,ISSUE-00065,P1,closed,public health disclosure is redacted to liveness only and full capability detail now requires authenticated /v1/health/capabilities,audit-fix/post-fix-evidence/issue-00065-rerun/issue-00065-summary.json;audit-fix/post-fix-evidence/issue-00065-rerun/public-health.json;audit-fix/post-fix-evidence/issue-00065-rerun/unauth-capabilities.json;audit-fix/post-fix-evidence/issue-00065-rerun/auth-capabilities.json;audit-fix/post-fix-evidence/issue-00065-rerun/runtime-log-tail.txt;src/api/http/routes/friday-health-routes.ts;ui/src/lib/api/health.ts;ui/src/providers/auth-provider.tsx;ui/src/routes/plugins-page.tsx;ui/src/routes/settings-page.tsx;test/unit/api/http/routes/friday-health-routes.test.ts;test/e2e/api/friday-api-health-routes.test.ts;test/contracts/api/friday-api-route-contract.snapshot.test.ts;test/contracts/api/__snapshots__/friday-api-route-contract.snapshot.test.ts.snap
FIX-BLK-20260419-009,phase3,ISSUE-00140|ISSUE-00163|CAND-20260419-006,P1,closed,public friday tui is now reachable and rendered against live main-runtime TUI routes after parser/help/base-url wiring was corrected,audit-fix/post-fix-evidence/issue-00140-rerun/issue-00140-summary.json;audit-fix/post-fix-evidence/issue-00140-rerun/status.json;audit-fix/post-fix-evidence/issue-00140-rerun/jobs.json;audit-fix/post-fix-evidence/issue-00140-rerun/sessions.json;audit-fix/post-fix-evidence/issue-00140-rerun/pairings.json;audit-fix/post-fix-evidence/issue-00140-rerun/tui-stdout.txt;audit-fix/post-fix-evidence/issue-00140-rerun/runtime-log-tail.txt;audit-fix/post-fix-evidence/issue-00163-rerun/issue-00163-summary.json;audit-fix/post-fix-evidence/issue-00163-rerun/root-help.txt;audit-fix/post-fix-evidence/issue-00163-rerun/tui-help.txt;src/api/http/routes/friday-tui-routes.ts;src/cli/friday-cli.ts;src/cli/friday-cli-tui.ts;src/tui/friday-tui-api-client.ts;test/unit/cli/friday-cli.test.ts;test/unit/tui/friday-tui.test.ts;test/unit/api/http/routes/friday-tui-routes.test.ts;test/e2e/api/friday-api-tui-routes.test.ts
FIX-BLK-20260419-010,phase3,CAND-20260419-013,P1,closed,agent run execution classifier no longer misroutes explicit skill_run tasks into the deterministic capabilities lane,src/sessions/services/friday-execution-classifier.ts;test/unit/sessions/friday-execution-classifier.test.ts;audit-fix/post-fix-evidence/cand-20260419-013-rerun-current/cand-20260419-013-summary.json;audit-fix/post-fix-evidence/cand-20260419-013-main-rerun-current/cand-20260419-013-summary.json;audit-fix/post-fix-evidence/cand-20260419-013-main-rerun-current/agent-event-rows.json
