"编号","能力域","打通目标","Friday当前实现(证据)","OpenClaw参考(证据)","主要差距/风险","最小改动打通动作","验收标准(自动化优先)","优先级","状态"
"OC-001","模型路由与回退","失败可观测并稳定回退到可用模型","./src/providers/services/friday-provider-service.ts:685 | ./src/providers/routing/friday-provider-fallback.ts:196 | ./src/hub/friday-hub-bootstrap.ts:1049","<openclaw-repo>/src/agents/model-fallback.ts:209","Friday attempt 记录缺少 reason/status/code 且无 auth-profile 冷却粒度","扩展 FridayProviderAttempt 字段并引入 profile 级 cooldown/skip","注入 429/503/timeout，断言 attempts 含 reason/status/code 且按顺序回退","P0","TODO"
"OC-002","主模型锁定","用户选定主模型后不被静默切到本地模型","./src/providers/services/friday-provider-service.ts:730 | ./src/hub/friday-hub-bootstrap.ts:196","<openclaw-repo>/src/agents/model-fallback.ts:130","预算策略可能强制切到 ollama 导致主模型漂移","增加 routing.enforceRequestedModel 开关并持久化 providerId/model","设置 ChatGPT 为主模型后重启，actualModel 持续等于用户选择","P0","TODO"
"OC-003","配置单一真源","运行时仅有一个配置来源避免漂移","./src/hub/friday-hub-bootstrap.ts:1298 | ./src/hub/friday-hub-bootstrap.ts:310 | ./src/config/friday-config.schema.ts:21","<openclaw-repo>/src/config/io.ts:529 | <openclaw-repo>/src/config/io.ts:820","Friday 目前存在 config.channels 与 friday_setup_state 双来源","统一为单真源并移除 fallback 分支（另一份作为缓存只读）","改任一配置后重启 hash 稳定且无反向覆盖","P0","TODO"
"OC-004","Discord 入站管线","高并发入站可去抖+预检+稳定处理","./src/hub/friday-hub-bootstrap.ts:2113","<openclaw-repo>/src/discord/monitor/message-handler.ts:44","Friday 直连回调缺少 debounce/preflight，突发消息易抖动","把 Discord 入站迁移到独立 handler：debounce -> preflight -> process","2 秒 20 条消息压测下触发一次批处理或受控批处理","P0","TODO"
"OC-005","Typing 体验","回复期间 typing 行为准确且及时停止","./src/hub/friday-hub-bootstrap.ts:2141 | ./src/hub/friday-hub-bootstrap.ts:2190","<openclaw-repo>/src/discord/monitor/message-handler.process.ts:357","当前全局 pulse 粒度粗，渠道差异化不足","改为 dispatch 生命周期 typing 回调并保留兜底 pulse","模型回复>2s 时 Discord 持续显示 typing，结束立即停止","P1","TODO"
"OC-006","多轮上下文","上下文真正进入模型且线程语义正确","./src/hub/friday-hub-bootstrap.ts:2154 | ./test/integration/agent/friday-openclaw-overlap-acceptance.test.ts:70","<openclaw-repo>/src/discord/monitor/message-handler.ts:91 | <openclaw-repo>/src/routing/resolve-route.ts:289","Friday 有基础历史回放但缺少 thread/reply 路由级上下文封装","在 session key 与 history packer 注入 thread/reply 元数据","线程内追问命中线程历史而非全频道混杂历史","P1","TODO"
"OC-007","工具执行真实性","避免口头声称已执行且补齐 tool_result 完整性","./src/agent/runtime/friday-agent-runtime.ts:412 | ./src/agent/runtime/friday-agent-runtime.ts:890","<openclaw-repo>/src/agents/session-tool-result-guard.ts:75","Friday 只有 completion claim 文本警告，缺少 transcript 级 tool_result 修复","加入 tool_result guard（缺失补齐、超长截断、持久化一致性）","故意丢失 tool_result 后 transcript 可自动修复并继续运行","P0","TODO"
"OC-008","ReadOnly 策略","readOnly 下禁止所有有副作用 browser act","./src/agent/runtime/friday-agent-tool-mutation.ts:17 | ./src/agent/tools/friday-agent-browser-tool.ts:158","<openclaw-repo>/src/agents/tools/browser-tool.ts:299","当前 classifier 读取 args.action，未正确识别 action=act + act=click/type","修复 classifier：当 action=act 时读取 args.act 决策副作用","readOnly 调用 browser act click/type 均返回 blocked","P0","TODO"
"OC-009","浏览器可见控制","支持用户可见浏览器而非仅 headless 会话","./src/browser/friday-browser-manager.ts:149 | ./src/browser/friday-browser-manager.ts:220","<openclaw-repo>/src/agents/tools/browser-tool.ts:225","Friday 默认 headless，本地会话可执行但用户不可见","补 host browser bridge/relay 模式并支持 profile 选择","Discord 发“打开 Google”时可在 host 可见标签页打开","P0","TODO"
"OC-010","桌面控制打通","desktop 能力在运行时可被真正调起","./src/agent/tools/friday-agent-tool-registry.ts:206 | ./src/hub/friday-hub-bootstrap.ts:1150","<openclaw-repo>/src/agents/tools/browser-tool.ts:81","desktop tool 仅在注入 desktopSessionManager 时出现，当前 bootstrap 未注入","在 hub bootstrap 创建并注入 createDesktopSessionManager","启动后工具列表出现 desktop 且基础 action 成功","P1","TODO"
