issue_id,severity,outcome,release_blocking_if_verified,owning_subphase,problem,impact,why_it_exists,fix_effect,decision_needed,plain_example,code_evidence,test_evidence,real_runtime_api_ui_proof_command,proof_result,next_action
P21-001,P0,verified_true,yes,21B,Auto-fix action routes read/write by actionId without owner binding.,Cross-user repair visibility and approval/execution/rollback risk.,"List routes are user-scoped, but item routes require a principal then call service methods with actionId only; service and repository lookups are actionId-only.",Pass current userId through routes/service/repository checks; return 404/403 for non-owner reads and writes; add cross-user denial tests.,"No, security boundary fix.",User B guesses User A's repair action id and opens or approves it.,src/api/http/routes/friday-auto-fix-routes.ts get/approve/deny/execute/rollback handlers; src/learning/services/friday-self-healing-api-service.ts getAction/approveAction/executeAction/rollbackAction; src/learning/persistence/friday-auto-fix-action-repository.ts getById.,Reproducible audit fixture added at test/e2e/api/friday-api-phase21-cross-user-proof.test.ts. It is skipped by default and runs only with FRIDAY_PHASE21A_ASSERT_KNOWN_VULN=1 so it does not lock the bug into normal CI.,FRIDAY_PHASE21A_ASSERT_KNOWN_VULN=1 npm exec vitest run test/e2e/api/friday-api-phase21-cross-user-proof.test.ts,"PASS: 1 file, 2 tests. Non-owner userB GET /v1/auto-fix/actions/:id returned 200 for userA action on baseline b8b9c19. Default run without env skips 2 tests, proving CI will not preserve the vulnerability assertion after 21B.",Implement 21B owner-scoped action access and permanent denial tests.
P21-002,P0,verified_true,yes,21B,Diagnosis incident routes read/resolve by incidentId without owner binding.,Cross-user incident visibility and manual-resolve control risk.,"Incident list is user-scoped, but get/diagnosis/manual-resolve require only any userId and then call incidentId-only service/repository methods.",Pass current userId through incident get/diagnosis/manual-resolve; return 404/403 for non-owner; add cross-user denial tests.,"No, security boundary fix.",User B opens User A's private failure report or marks it resolved.,src/api/http/routes/friday-diagnosis-routes.ts getIncident/getIncidentDiagnosis/manualResolve; src/learning/services/friday-self-healing-api-service.ts getIncident/getIncidentDiagnosis/manualResolveIncident; src/learning/persistence/friday-error-incident-repository.ts getById.,Reproducible audit fixture added at test/e2e/api/friday-api-phase21-cross-user-proof.test.ts. It is skipped by default and runs only with FRIDAY_PHASE21A_ASSERT_KNOWN_VULN=1 so it does not lock the bug into normal CI.,FRIDAY_PHASE21A_ASSERT_KNOWN_VULN=1 npm exec vitest run test/e2e/api/friday-api-phase21-cross-user-proof.test.ts,"PASS: 1 file, 2 tests. Non-owner userB GET /v1/diagnosis/incidents/:id and POST /manual-resolve returned 200 for userA incident on baseline b8b9c19. Default run without env skips 2 tests.",Implement 21B owner-scoped incident access and permanent denial tests.
P21-003,P0,verified_true,yes,21C,System health monitor performs data-changing cleanup outside auto-fix approval/rollback/evidence path.,Silent data loss or hidden maintenance writes from default scheduler.,createFridaySystemHealthMonitor.runAll auto-runs autoFix on unhealthy checks; hub registers system-health-monitor every 5 minutes; job scheduler starts immediate interval jobs.,"Make system health diagnose-only by default; data-changing cleanup must be explicit, gated, auditable, and receipted or moved into supervised auto-fix.",Yes: choose exact cleanup gate shape before 21C implementation.,Friday deletes old memory/checkpoints during health monitoring without a user-visible repair receipt.,src/learning/services/friday-system-health-monitor.ts autoFix blocks; src/hub/friday-hub-bootstrap.ts registers system-health-monitor; src/jobs/scheduler/friday-job-scheduler-service.ts immediate interval behavior.,npm exec vitest run test/unit/learning/services/friday-system-health-monitor.test.ts passed; current tests confirm risky auto-fix behavior instead of deny it.,Read-only code proof plus focused unit test: npm exec vitest run test/unit/learning/services/friday-system-health-monitor.test.ts,6/6 pass; test 'triggers auto-fix when expired memory items exceed threshold' locks current risky behavior.,"Ask/confirm 21C gate choice, then implement diagnose-only default and cleanup receipt tests."
P21-004,P1,verified_partial_existing_mitigations,yes,21D,"autoFixActions count is an action count, not a verified repair count.",API/product trust risk if action count is read as fixed count.,Learning overview coverage counts rows in auto_fix_actions; repairOutcome exists per action but overview lacks verified/diagnostic/failed/rolled-back buckets.,Expose recorded actions and verified repair buckets separately; keep UI wording tied to verified outcomes.,"No, additive truth fix.","'5 auto-fixes' may mean 5 attempts, not 5 issues actually repaired.",src/learning/services/friday-self-healing-api-service.ts coverage.autoFixActions; deriveAutoFixRepairOutcome; ui/src/components/core/learning-insight-card.tsx wording.,"Existing focused tests pass. Code audit found UI wording mitigation in home/insight surfaces, but this is not treated as closure proof because the API still lacks machine-readable outcome buckets.",npm exec vitest run test/e2e/api/friday-api-auto-fix-doctor.acceptance.test.ts test/unit/ui/home-self-repair.test.ts test/unit/learning/services/friday-auto-fix-rollback-service.test.ts,"PASS: 3 files, 12 tests. Proves current per-action repairOutcome and UI wording mitigation; does not prove overview autoFixActions is a verified repair count.",Implement 21D coverage outcome buckets and tests.
P21-005,P1,verified_true,yes,21D,Rollback attempt/failure receipt is incomplete after failed rollback.,User cannot later tell whether rollback was attempted and why it failed.,"Rollback response can return attempted=false/true, but action evidence later derives rollbackAttempted from action.status === rolled_back; failed attempts are not persisted.",Persist rollback attempt/succeeded/error evidence and expose it in GET receipts.,"No, additive evidence fix.","Friday tries to rollback, it fails, then the action detail later looks like rollback was never attempted.",src/learning/services/friday-self-healing-api-service.ts rollbackResult derivation; src/learning/services/friday-auto-fix-rollback-service.ts failed rollback return paths; src/learning/model/friday-auto-fix.types.ts lacks rollback attempt fields.,"Existing rollback/execution tests pass, but they cover immediate rollback behavior rather than durable GET-after-failed-rollback receipt.",npm exec vitest run test/e2e/api/friday-api-auto-fix-doctor.acceptance.test.ts test/unit/ui/home-self-repair.test.ts test/unit/learning/services/friday-auto-fix-rollback-service.test.ts,"PASS: 3 files, 12 tests. Confirms existing rollback behaviors still pass; code audit shows failed-attempt receipt is not persisted for later action detail.",Implement 21D persistent rollback attempt/error receipt and permanent test.
P21-006,P1,verified_nuanced_needs_decision,maybe,21E,"Learned preferences do not all enter prompts; some do by communication/reflex paths, raw learned facts do not.",Overclaim risk for memory/personalization; possible behavior mismatch for 'always challenge me' if not confirmed through Reflex/User Constitution.,createFridayPreferenceInjector exists with good gates but is test-only; production runtime uses communicationPromptBuilder and confirmed Reflex/User Constitution fragments instead of raw learned preference injection.,Either document/test non-claim or wire a bounded low-risk injector; high-impact execution/security/memory/testing preferences must remain review-gated.,"Yes: wire bounded low-risk injector now, or keep non-claim and prove current boundary.","User says 'always challenge me'; Friday may only apply it reliably after Review Center confirmation, not from every inferred learned fact.",src/agent/runtime/friday-agent-runtime.ts learningContextBuilder/communicationPromptBuilder; src/hub/friday-hub-bootstrap.ts buildMergedPreferenceContext/buildReflexPreferencePromptFragment; src/agent/runtime/friday-agent-preference-injector.ts.,npm exec vitest run test/unit/agent/runtime/friday-agent-preference-injector.test.ts test/unit/uix/services/friday-communication-persona.test.ts test/unit/hub/friday-hub-bootstrap.test.ts; all passed.,Focused tests above plus code audit of runtime prompt path.,Existing code intentionally separates learned facts from confirmed preferences; no false blanket injection found.,Use 21E decision gate before implementation.
P21-007,P1,verified_partial_existing_guards,maybe,21E,Learned preference extraction is broad enough to infer durable preferences from ordinary messages.,Wrong or casual preference can become a learned fact if phrasing matches broad regex rules.,Preference extraction has broad 'prefer/always use/don't use/call me' rules; mitigated by first inferred confidence cap for sub-0.8 persona rules and Review Center gating for high-impact Reflex preferences.,"Tighten confidence/review rules for inferred preferences, or document boundaries and add proof that high-impact preferences remain gated.",Yes for UX strictness and friction level.,'I prefer X?' could be treated as a durable preference if it matches a rule strongly enough.,src/learning/services/friday-preference-extraction-service.ts; src/learning/services/friday-preference-fact-service.ts; src/reflex/services/friday-reflex-preference-sensitivity.ts; src/api/http/routes/friday-uix-routes.ts learned facts/revoke routes.,npm exec vitest run test/unit/learning/services/friday-preference-extraction-service.test.ts test/unit/api/http/routes/friday-uix-routes.test.ts; all passed.,Focused tests above plus code audit of active fact threshold 0.60 and high-impact confirmation set.,"Existing coverage proves extraction and revoke surfaces, but not enough product-level proof of 'no wrong preference influence'.",Route to 21E; decide stricter review/default behavior.
P21-008,P1,verified_true_with_existing_backend_fix,yes,21F,"Skill generator approve stages a candidate, not an installed/promoted/runnable skill; UI/API type drift still exists.",User/developer may think a generated skill is immediately runnable; TypeScript client can misrepresent backend state.,"Backend now returns promotionStage candidate_staged and registryRefreshed false, but ui/src/lib/api/types.ts still says promotionStage 'stabilized' and omits candidateId/candidateDir.",Align UI client types/copy with candidate_staged; show candidate identity; keep generated skill unavailable until lifecycle promotion.,"No, truth/contract fix.","UI says success, but the skill is only staged as a candidate and agent cannot run it yet.",src/skills/generator/services/friday-skill-generator-service.ts approveAndSave; src/api/model/friday-api-skill-generator.types.ts; ui/src/lib/api/types.ts stale ApproveResponse; ui/src/routes/skill-generator-page.tsx receipt.,npm exec vitest run test/unit/skills/generator/services/friday-skill-generator-service.test.ts test/unit/api/http/routes/friday-skill-generator-routes.test.ts test/unit/ui/skill-generator-page.test.ts; all passed.,Focused skill tests above; code audit finds stale UI API type despite backend truth.,"Focused skill tests passed; backend truth is mostly fixed, UI client contract still drifts.",Implement 21F UI type/copy/contract reconciliation and tests.
P21-009,P1,verified_truth_boundary,yes,21F,Workflow generator publish is not the same as workflow upgrade lifecycle shadow/canary/promote proof.,Overclaim self-upgrade if published workflow is described as lifecycle-promoted or canary-proven.,Workflow generator approveAndSave creates/publishes via CRUD; workflow upgrade lifecycle service exists separately for shadow/canary/promote/rollback and is not invoked by generator publish.,Keep generator language as publish/save; reserve lifecycle promotion wording for explicit upgrade lifecycle routes and evidence.,"No, wording/contract truth fix unless API behavior is changed.","Published workflow is usable as a published version, but not equivalent to a canary-promoted upgrade.",src/workflows/generator/services/friday-workflow-generator-service.ts approveAndSave publishVersion path; src/autonomy/services/friday-workflow-upgrade-lifecycle-service.ts separate lifecycle; ui workflow publish copy.,npm exec vitest run test/unit/workflows/generator/services/friday-workflow-generator-service.test.ts test/unit/autonomy/friday-workflow-upgrade-lifecycle-service.test.ts; all passed.,Focused workflow tests above; code audit confirms two separate mechanisms.,Focused workflow tests passed; mechanisms are separate and must remain separately worded.,Implement 21F docs/UI/API receipt wording if any copy conflates publish with lifecycle proof.
P21-010,P1,verified_true_needs_wording_or_state_decision,yes,21F,"Capability acquisition status 'verified' can mean generated/local candidate passed sandbox/dry-run and was registered available, not necessarily installed external/live capability.",Overclaim risk: 'verified' sounds fully installed/live when evidence may only be sandbox/local proof.,"approveRun treats skill_generator/workflow_generator/studio_artifact/builtin_catalog as passed without live external matrix confirmation; evidence text says sandbox/doctor dry-run accepted, but status is 'verified'.",Add clearer state/explanation or additive fields distinguishing live_runtime_verified from local_candidate_registered; avoid breaking API unless explicitly approved.,Maybe if renaming API status; additive wording is lower risk.,"'Verified' sounds ready like a provider credential worked, but it may only mean a local generated candidate passed sandbox.",src/autonomy/services/friday-capability-acquisition-service.ts approveRun; src/api/http/routes/friday-autonomy-routes.ts capability routes; test/unit/autonomy/friday-controlled-autonomy-services.test.ts status verified for generated/studio candidates.,npm exec vitest run test/unit/autonomy/friday-controlled-autonomy-services.test.ts; passed.,Focused autonomy tests above; code audit confirms status/evidence mismatch risk.,"Focused autonomy tests passed; status wording is the risk, not missing route wiring.",Route to 21F; decide additive wording vs API state rename.
