window_start,window_end,event_time_pst,source_type,commit_sha,title,problem_or_risk,root_cause,what_was_changed,how_verified,current_status,target_objective,primary_files
"2026-03-01 12:14:10 PST","2026-03-01 16:14:10 PST","2026-03-01 12:53:25","commit","1ef0ff8f16b7fcb180605e5db9b16ea5995a551b","Merge PR #13 marketplace release prep","发布前缺少负向回归与回滚演练标准化","发布闭环缺少重复回调防重和staging回滚证据模板","合入 marketplace 重复 checkout callback 负向集成测试、staging 回滚演练脚本与记录模板、runbook 更新","git show 1ef0ff8 / 970c68e / 9480c67 显示新增测试与脚本文件","merged","把 marketplace 发布前风险从人工口头检查变成可执行+可留痕流程","test/integration/marketplace/friday-marketplace-duplicate-checkout-callback.test.ts|scripts/ops/marketplace-staging-rollback-drill.sh|docs/task/marketplace-staging-rollback-drill-record-template.md"
"2026-03-01 12:14:10 PST","2026-03-01 16:14:10 PST","2026-03-01 14:32:03","commit","27627b2e1b4d2f2d3910ecd21261009ee2c9c6ab","OpenClaw overlap MVP bundle","多轮上下文、工具证据、Discord 体验和对齐验收存在分散风险","历史消息注入、typing、证据约束、CI 质量闸门未统一收敛","合入会话历史注入、工具执行证据约束、Discord typing/安全回复、alignment guard 脚本与覆盖测试","git show 27627b2 显示 runtime/channel/CI/test 多模块改动","merged","让 Friday 与 OpenClaw 关键能力对齐且可被CI守护","src/hub/friday-hub-bootstrap.ts|src/channels/discord/*|scripts/quality/check-openclaw-alignment-guard.mjs|test/integration/agent/friday-openclaw-overlap-acceptance.test.ts"
"2026-03-01 12:14:10 PST","2026-03-01 16:14:10 PST","2026-03-01 14:48:24","commit","9bdb5f6cd9519513590925c58da448aa0786602f","CI lint/secrets false positive fix","GitHub 检查失败（import order + detect-secrets 告警）","导入顺序与测试假token触发静态扫描误报","调整 import 顺序、更新 .secrets.baseline 行号与时间戳、为测试token加 allowlist 注释","git show 9bdb5f6 可见对应修复","fixed","恢复 CI 基线稳定性，避免非业务问题阻塞发布",".secrets.baseline|src/hub/friday-hub-bootstrap.ts|test/integration/agent/friday-openclaw-overlap-acceptance.test.ts"
"2026-03-01 12:14:10 PST","2026-03-01 16:14:10 PST","2026-03-01 15:03:15","commit","cabafbe1004d78ac6533d7e4e24364f95e9a43cf","CLI auto-connect channels on startup","开机后渠道未自动连接，需手工配置/重配","启动流程未统一加载渠道配置，legacy 配置格式兼容差","在 friday start 中加入渠道配置自动解析链路（FRIDAY_CHANNELS_JSON -> ~/.friday/friday.json）并做多渠道归一化","git show cabafbe 显示 CLI 归一化与 README 说明","fixed","实现开机即连渠道，减少人工干预","src/cli/friday-cli.ts|README.md"
"2026-03-01 12:14:10 PST","2026-03-01 16:14:10 PST","2026-03-01 15:19:57","commit","857061715fb67da64348632ca986e7cf3ae72370","Startup channel persistence + launchd runner restore","setup保存后重启不一定恢复渠道；服务托管脚本缺失","hub 启动默认不读 setup_state.channels_json；launchd执行入口未标准化","新增 launchd 运行脚本；hub 启动时读取 friday_setup_state.channels_json；setup status 的 channelCount 改为读 setup_state","git show 8570617 + 新增 e2e/integration 用例","fixed","保障 setup 配置可持久化并在重启后生效","scripts/ops/friday-service-run.sh|src/hub/friday-hub-bootstrap.ts|src/api/http/routes/friday-setup-routes.ts"
"2026-03-01 12:14:10 PST","2026-03-01 16:14:10 PST","2026-03-01 15:43:15","commit","c091dc4b8fca3fd8a6aa0b9db384a39fa0f3ba7b","Startup wiring + channel bootstrap resilience","单渠道失败会拖垮整体启动；host/port 与 setup网络配置脱节","启动参数优先级和容错策略不完整","CLI 增加从 setup_state 读取 host/port；channel registry 新增 startAllBestEffort；hub 记录成功/失败渠道摘要而非整体失败","git show c091dc4 + 单测覆盖 startAllBestEffort/cli network binding","fixed","保证部分渠道异常时系统仍可用（降级可运行）","src/cli/friday-cli.ts|src/channels/friday-channel-registry.ts|src/hub/friday-hub-bootstrap.ts"
"2026-03-01 12:14:10 PST","2026-03-01 16:14:10 PST","2026-03-01 15:48:04","commit","9b889cde91523d4a14a3de68f987db810ff4a567","Browser open/start default session fallback","agent 会口头说已开浏览器，但参数缺省时工具报错","browser.open/start 过于依赖 sessionId/profile 显式参数","为 open/start 增加 session 解析回退（targetId/profile/default）","git show 9b889cd + 对应单测新增2例","fixed","减少自然语言调用时的空参数失败与伪执行感","src/agent/tools/friday-agent-browser-tool.ts|test/unit/agent/tools/friday-agent-browser-tool.test.ts"
"2026-03-01 12:14:10 PST","2026-03-01 16:14:10 PST","2026-03-01 15:51:59","commit","f57a7d6504008b17006a5bd217cb683a6ba2c0d2","Launch script set -u args fix","服务脚本在 set -u 下出现 unbound variable 并反复拉起失败","空数组参数展开在严格模式下触发错误","将分散 HOST_ARGS/PORT_ARGS 改为统一 ARGS 数组，按条件 append","git show f57a7d6；stderr 既往报错为 HOST_ARGS unbound variable","fixed","确保 launchd 托管进程可稳定拉起","scripts/ops/friday-service-run.sh"
"2026-03-01 12:14:10 PST","2026-03-01 16:14:10 PST","2026-03-01 16:07:41","commit","f0cb69a03d4f1af7a20078df977be10d6f0d6b3d","Channel secret hardening + startup policy","渠道 token/secret 明文存储，存在泄露风险；错误配置可能直接带病启动","setup/channels 对 secret 字段缺少加密落库和启动期策略校验","新增 channel secret 安全模块：明文写入转 secret://channel/* 引用、加密入 secrets 表、启动期 strict/compat 策略、能力矩阵与缺失密钥阻断","git show f0cb69a + unit/integration/e2e 测试更新","fixed","把渠道密钥风险从明文配置收敛到加密引用与策略化启动","src/channels/friday-channel-security.ts|src/api/http/routes/friday-setup-routes.ts|src/hub/friday-hub-bootstrap.ts"
"2026-03-01 12:14:10 PST","2026-03-01 16:14:10 PST","2026-03-01 16:10:00~16:14:00","runtime_diagnosis","N/A","Model/path mismatch diagnosis","用户感知 main 在 ollama，但当前 Friday 似乎应走 ChatGPT，路径也表现混乱","同机并行运行 openclaw-gateway 与 friday-cli；同时存在 legacy ~/.friday 与平台 state DB 两套配置源","确认进程与状态目录分离：openclaw 使用 ~/.openclaw，friday-cli 使用 ~/Library/Application Support/Friday/state；确认 ~/.friday/friday.json 的 main 仍是 ollama，而当前 friday.db 路由为 openai/gpt-4o-mini","ps/lsof/sqlite3/日志核验（本轮诊断命令）","identified_not_fully_unified","统一单一运行时与单一配置源，消除模型/渠道认知偏差","~/.friday/friday.json|~/Library/Application Support/Friday/state/friday.db|~/.openclaw/logs/gateway.log|~/.friday/launchd/friday.stderr.log"
